Store,75th Percentile Weekdays
FreshChoice Epsom,5.0
FreshChoice Flat Bush,6.0
FreshChoice Glen Eden,6.0
FreshChoice Half Moon Bay,5.0
FreshChoice Mangere Bridge,5.0
FreshChoice Otahuhu,6.0
FreshChoice Palomino,5.0
FreshChoice Papakura,6.0
FreshChoice Ranui,5.0
FreshChoice Titirangi,6.0
Metro Albert Street,5.0
Metro Halsey Street,5.0
Metro Herne Bay,5.0
SuperValue Avondale,5.0
Woolworths Airport,10.0
Woolworths Auckland City,10.0
Woolworths Auckland Victoria Street West,9.0
Woolworths Birkenhead,9.0
Woolworths Blockhouse Bay,10.0
Woolworths Botany Downs,9.0
Woolworths Browns Bay,9.0
Woolworths Glenfield,8.0
Woolworths Greenlane,10.0
Woolworths Greville Road,11.0
Woolworths Grey Lynn,10.0
Woolworths Hauraki Corner,9.0
Woolworths Henderson,10.0
Woolworths Highland Park,9.0
Woolworths Hobsonville,9.0
Woolworths Howick,11.0
Woolworths Lincoln Road,9.0
Woolworths Lynnmall,10.0
Woolworths Mairangi Bay,9.0
Woolworths Mangere East,9.0
Woolworths Mangere Mall,8.0
Woolworths Manukau,10.0
Woolworths Manukau Mall,9.0
Woolworths Manurewa,10.0
Woolworths Meadowbank,10.0
Woolworths Meadowlands,10.0
Woolworths Milford,9.0
Woolworths Mt Eden,9.0
Woolworths Mt Roskill,8.0
Woolworths Mt Wellington,9.0
Woolworths Newmarket,10.0
Woolworths Northcote,9.0
Woolworths Northwest,8.0
Woolworths Onehunga,9.0
Woolworths Pakuranga,10.0
Woolworths Papakura,10.0
Woolworths Papatoetoe,9.0
Woolworths Ponsonby,9.0
Woolworths Pt Chevalier,9.0
Woolworths Roselands,9.0
Woolworths St Johns,9.0
Woolworths St Lukes,10.0
Woolworths Sunnynook,9.0
Woolworths Takanini,10.0
Woolworths Takapuna,10.0
Woolworths Te Atatu North,9.0
Woolworths Te Atatu South,9.0
Woolworths Three Kings,9.0
Woolworths Waiata Shores,11.0
Woolworths Westgate,9.0
