Store,75th Percentile Weekends
FreshChoice Epsom,0.0
FreshChoice Flat Bush,0.0
FreshChoice Glen Eden,0.0
FreshChoice Half Moon Bay,0.0
FreshChoice Mangere Bridge,0.0
FreshChoice Otahuhu,0.0
FreshChoice Palomino,0.0
FreshChoice Papakura,0.0
FreshChoice Ranui,0.0
FreshChoice Titirangi,0.0
Metro Albert Street,0.0
Metro Halsey Street,0.0
Metro Herne Bay,0.0
SuperValue Avondale,0.0
Woolworths Airport,6.0
Woolworths Auckland City,6.0
Woolworths Auckland Victoria Street West,4.0
Woolworths Birkenhead,6.0
Woolworths Blockhouse Bay,4.0
Woolworths Botany Downs,4.0
Woolworths Browns Bay,7.0
Woolworths Glenfield,6.0
Woolworths Greenlane,5.0
Woolworths Greville Road,6.0
Woolworths Grey Lynn,4.0
Woolworths Hauraki Corner,4.0
Woolworths Henderson,4.0
Woolworths Highland Park,3.0
Woolworths Hobsonville,5.0
Woolworths Howick,5.0
Woolworths Lincoln Road,4.0
Woolworths Lynnmall,4.0
Woolworths Mairangi Bay,5.0
Woolworths Mangere East,3.0
Woolworths Mangere Mall,5.0
Woolworths Manukau,3.0
Woolworths Manukau Mall,5.0
Woolworths Manurewa,5.0
Woolworths Meadowbank,4.0
Woolworths Meadowlands,6.0
Woolworths Milford,4.0
Woolworths Mt Eden,5.0
Woolworths Mt Roskill,5.0
Woolworths Mt Wellington,4.0
Woolworths Newmarket,5.0
Woolworths Northcote,3.0
Woolworths Northwest,4.0
Woolworths Onehunga,4.0
Woolworths Pakuranga,4.0
Woolworths Papakura,3.0
Woolworths Papatoetoe,5.0
Woolworths Ponsonby,5.0
Woolworths Pt Chevalier,6.0
Woolworths Roselands,3.0
Woolworths St Johns,5.0
Woolworths St Lukes,4.0
Woolworths Sunnynook,6.0
Woolworths Takanini,3.0
Woolworths Takapuna,4.0
Woolworths Te Atatu North,4.0
Woolworths Te Atatu South,3.0
Woolworths Three Kings,4.0
Woolworths Waiata Shores,4.0
Woolworths Westgate,3.0
