"region","routes","duration"
"0","['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Greenlane', 'FreshChoice Epsom', 'Distribution Centre Auckland']","15124.76"
"0","['Distribution Centre Auckland', 'Woolworths Newmarket', 'Woolworths Auckland Victoria Street West', 'Distribution Centre Auckland']","13246.79"
"0","['Distribution Centre Auckland', 'Woolworths Auckland City', 'Woolworths Grey Lynn', 'Distribution Centre Auckland']","14243.680000000002"
"0","['Distribution Centre Auckland', 'Woolworths Pt Chevalier', 'Woolworths Ponsonby', 'Distribution Centre Auckland']","13560.64"
"0","['Distribution Centre Auckland', 'Woolworths St Lukes', 'Woolworths Mt Eden', 'Distribution Centre Auckland']","13229.76"
"0","['Distribution Centre Auckland', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']","6348.2"
"1","['Distribution Centre Auckland', 'Woolworths Takanini', 'Woolworths Roselands', 'Distribution Centre Auckland']","13332.3"
"1","['Distribution Centre Auckland', 'Woolworths Waiata Shores', 'Distribution Centre Auckland']","7850.25"
"1","['Distribution Centre Auckland', 'FreshChoice Papakura', 'Woolworths Papakura', 'Distribution Centre Auckland']","11410.46"
"2","['Distribution Centre Auckland', 'Woolworths Pakuranga', 'Woolworths Botany Downs', 'Distribution Centre Auckland']","13417.64"
"2","['Distribution Centre Auckland', 'Woolworths Howick', 'Woolworths Meadowlands', 'Distribution Centre Auckland']","14999.69"
"2","['Distribution Centre Auckland', 'Woolworths St Johns', 'Woolworths Meadowbank', 'Distribution Centre Auckland']","13668.04"
"2","['Distribution Centre Auckland', 'Woolworths Highland Park', 'FreshChoice Half Moon Bay', 'Distribution Centre Auckland']","11517.69"
"3","['Distribution Centre Auckland', 'FreshChoice Otahuhu', 'Woolworths Mangere East', 'Woolworths Mangere Mall', 'Distribution Centre Auckland']","13434.15"
"3","['Distribution Centre Auckland', 'Woolworths Manukau Mall', 'FreshChoice Flat Bush', 'Woolworths Papatoetoe', 'Distribution Centre Auckland']","14766.190000000002"
"3","['Distribution Centre Auckland', 'Woolworths Onehunga', 'Woolworths Airport', 'Distribution Centre Auckland']","12217.13"
"3","['Distribution Centre Auckland', 'Woolworths Manukau', 'Woolworths Manurewa', 'Distribution Centre Auckland']","13025.080000000002"
"3","['Distribution Centre Auckland', 'FreshChoice Mangere Bridge', 'Distribution Centre Auckland']","3106.42"
"4","['Distribution Centre Auckland', 'Woolworths Northwest', 'Woolworths Te Atatu North', 'Distribution Centre Auckland']","15280.46"
"4","['Distribution Centre Auckland', 'Woolworths Lincoln Road', 'Woolworths Westgate', 'Distribution Centre Auckland']","14725.3"
"4","['Distribution Centre Auckland', 'Woolworths Hobsonville', 'Woolworths Henderson', 'Distribution Centre Auckland']","16108.97"
"4","['Distribution Centre Auckland', 'Woolworths Te Atatu South', 'FreshChoice Palomino', 'FreshChoice Ranui', 'Distribution Centre Auckland']","15939.57"
"5","['Distribution Centre Auckland', 'FreshChoice Titirangi', 'Woolworths Lynnmall', 'Woolworths Mt Roskill', 'Distribution Centre Auckland']","16077.52"
"5","['Distribution Centre Auckland', 'Woolworths Blockhouse Bay', 'SuperValue Avondale', 'Woolworths Three Kings', 'Distribution Centre Auckland']","15197.07"
"6","['Distribution Centre Auckland', 'Woolworths Milford', 'Woolworths Hauraki Corner', 'Distribution Centre Auckland']","15057.91"
"6","['Distribution Centre Auckland', 'Woolworths Glenfield', 'Distribution Centre Auckland']","9645.27"
"6","['Distribution Centre Auckland', 'Woolworths Northcote', 'Woolworths Takapuna', 'Metro Herne Bay', 'Distribution Centre Auckland']","17124.67"
"6","['Distribution Centre Auckland', 'Woolworths Birkenhead', 'Metro Halsey Street', 'Metro Albert Street', 'Distribution Centre Auckland']","15339.75"
"7","['Distribution Centre Auckland', 'Woolworths Sunnynook', 'Woolworths Mairangi Bay', 'Distribution Centre Auckland']","14902.85"
"7","['Distribution Centre Auckland', 'Woolworths Greville Road', 'Woolworths Browns Bay', 'Distribution Centre Auckland']","16190.02"
