fleet_size,annual_maintenance ($),annual_routing_cost ($),total_annual_cost ($),ci_95_annual ($),mean_daily_cost ($),mf_days_pct (%),mf_routes_in_lp
10,750000,6601777.27,7351777.27,166671.31,25391.45,96.0,10
11,825000,7206194.22,8031194.22,166304.58,27716.13,96.0,8
12,900000,7747507.93,8647507.93,178537.57,29798.11,95.0,6
13,975000,8562941.87,9537941.87,206453.38,32934.39,98.0,4
14,1050000,9205290.11,10255290.11,223789.2,35404.96,97.0,2
15,1125000,9919596.72,11044596.72,230026.97,38152.3,98.0,0
16,1200000,9931556.72,11131556.72,234353.84,38198.3,97.0,0
17,1275000,9931556.72,11206556.72,234353.84,38198.3,97.0,0
18,1350000,9931556.72,11281556.72,234353.84,38198.3,97.0,0
19,1425000,9931556.72,11356556.72,234353.84,38198.3,97.0,0
20,1500000,9931556.72,11431556.72,234353.84,38198.3,97.0,0
21,1575000,9931556.72,11506556.72,234353.84,38198.3,97.0,0
22,1650000,9931556.72,11581556.72,234353.84,38198.3,97.0,0
23,1725000,9931556.72,11656556.72,234353.84,38198.3,97.0,0
24,1800000,9931556.72,11731556.72,234353.84,38198.3,97.0,0
