"route","duration","demand","region","assigned_to","route_cost"
"['Distribution Centre Auckland', 'Woolworths Newmarket', 'Woolworths Auckland Victoria Street West', 'Distribution Centre Auckland']","13246.79","16.05","0","WW","919.9159722222223"
"['Distribution Centre Auckland', 'Woolworths Auckland City', 'Woolworths Grey Lynn', 'Distribution Centre Auckland']","14243.680000000002","16.200000000000003","0","WW","989.1444444444446"
"['Distribution Centre Auckland', 'Woolworths Pt Chevalier', 'Woolworths Ponsonby', 'Distribution Centre Auckland']","13560.64","16.4","0","WW","941.7111111111111"
"['Distribution Centre Auckland', 'Woolworths Mt Wellington', 'Woolworths Greenlane', 'FreshChoice Epsom', 'Distribution Centre Auckland']","15124.76","20.0","0","WW","1065.4297222222222"
"['Distribution Centre Auckland', 'Woolworths St Lukes', 'Woolworths Mt Eden', 'Distribution Centre Auckland']","13229.76","16.85","0","WW","918.7333333333333"
"['Distribution Centre Auckland', 'FreshChoice Glen Eden', 'Distribution Centre Auckland']","6348.2","4.55","0","WW","440.84722222222223"
"['Distribution Centre Auckland', 'Woolworths Takanini', 'Woolworths Roselands', 'Distribution Centre Auckland']","13332.3","15.75","1","WW","925.8541666666666"
"['Distribution Centre Auckland', 'FreshChoice Papakura', 'Woolworths Papakura', 'Distribution Centre Auckland']","11410.46","12.2","1","WW","792.3930555555555"
"['Distribution Centre Auckland', 'Woolworths Waiata Shores', 'Distribution Centre Auckland']","7850.25","8.25","1","WW","545.15625"
"['Distribution Centre Auckland', 'Woolworths Pakuranga', 'Woolworths Botany Downs', 'Distribution Centre Auckland']","13417.64","16.35","2","WW","931.7805555555556"
"['Distribution Centre Auckland', 'Woolworths Howick', 'Woolworths Meadowlands', 'Distribution Centre Auckland']","14999.69","17.75","2","WW","1054.1386805555555"
"['Distribution Centre Auckland', 'Woolworths Highland Park', 'FreshChoice Half Moon Bay', 'Distribution Centre Auckland']","11517.69","12.55","2","WW","799.8395833333334"
"['Distribution Centre Auckland', 'Woolworths St Johns', 'Woolworths Meadowbank', 'Distribution Centre Auckland']","13668.04","16.55","2","WW","949.1694444444446"
"['Distribution Centre Auckland', 'Woolworths Manukau', 'Woolworths Manurewa', 'Distribution Centre Auckland']","13025.080000000002","16.700000000000003","3","WW","904.5194444444446"
"['Distribution Centre Auckland', 'Woolworths Manukau Mall', 'FreshChoice Flat Bush', 'Woolworths Papatoetoe', 'Distribution Centre Auckland']","14766.190000000002","19.95","3","WW","1033.0588194444447"
"['Distribution Centre Auckland', 'FreshChoice Otahuhu', 'Woolworths Mangere East', 'Woolworths Mangere Mall', 'Distribution Centre Auckland']","13434.15","19.65","3","WW","932.9270833333334"
"['Distribution Centre Auckland', 'Woolworths Onehunga', 'Woolworths Airport', 'Distribution Centre Auckland']","12217.13","16.4","3","WW","848.4118055555556"
"['Distribution Centre Auckland', 'FreshChoice Mangere Bridge', 'Distribution Centre Auckland']","3106.42","3.8","3","WW","215.72361111111113"
"['Distribution Centre Auckland', 'Woolworths Northwest', 'Woolworths Te Atatu North', 'Distribution Centre Auckland']","15280.46","15.9","4","WW","1079.4859722222222"
"['Distribution Centre Auckland', 'Woolworths Lincoln Road', 'Woolworths Westgate', 'Distribution Centre Auckland']","14725.3","16.0","4","WW","1029.367361111111"
"['Distribution Centre Auckland', 'Woolworths Hobsonville', 'Woolworths Henderson', 'Distribution Centre Auckland']","16108.97","16.15","4","WW","1154.2820138888887"
"['Distribution Centre Auckland', 'Woolworths Te Atatu South', 'FreshChoice Palomino', 'FreshChoice Ranui', 'Distribution Centre Auckland']","15939.57","17.05","4","WW","1138.9889583333334"
"['Distribution Centre Auckland', 'FreshChoice Titirangi', 'Woolworths Lynnmall', 'Woolworths Mt Roskill', 'Distribution Centre Auckland']","16077.52","19.85","5","WW","1151.4427777777778"
"['Distribution Centre Auckland', 'Woolworths Blockhouse Bay', 'SuperValue Avondale', 'Woolworths Three Kings', 'Distribution Centre Auckland']","15197.07","19.700000000000003","5","WW","1071.9577083333334"
"['Distribution Centre Auckland', 'Woolworths Birkenhead', 'Metro Halsey Street', 'Metro Albert Street', 'Distribution Centre Auckland']","15339.75","16.75","6","WW","1084.8385416666667"
"['Distribution Centre Auckland', 'Woolworths Glenfield', 'Distribution Centre Auckland']","9645.27","7.25","6","WW","669.8104166666667"
"['Distribution Centre Auckland', 'Woolworths Milford', 'Woolworths Hauraki Corner', 'Distribution Centre Auckland']","15057.91","15.75","6","WW","1059.3946527777778"
"['Distribution Centre Auckland', 'Woolworths Northcote', 'Woolworths Takapuna', 'Metro Herne Bay', 'Distribution Centre Auckland']","17124.67","19.25","6","WW","1245.9771527777775"
"['Distribution Centre Auckland', 'Woolworths Sunnynook', 'Woolworths Mairangi Bay', 'Distribution Centre Auckland']","14902.85","14.85","7","WW","1045.3961805555555"
"['Distribution Centre Auckland', 'Woolworths Greville Road', 'Woolworths Browns Bay', 'Distribution Centre Auckland']","16190.02","16.5","7","WW","1161.5990277777778"
