Store,Cluster,median,std,mean
FreshChoice Epsom,0,4.0,1.2565617248750864,
FreshChoice Flat Bush,3,5.0,1.8994459025837258,
FreshChoice Glen Eden,0,4.5,1.9324105480761042,
FreshChoice Half Moon Bay,2,4.5,1.3178930553209385,
FreshChoice Mangere Bridge,3,4.0,1.361114094757441,
FreshChoice Otahuhu,3,5.0,1.5183093090324964,
FreshChoice Palomino,4,5.0,0.7880689256524122,
FreshChoice Papakura,1,4.0,1.8524521444205841,
FreshChoice Ranui,4,4.0,1.1516578439248717,
FreshChoice Titirangi,5,4.0,2.039091645032686,
Metro Albert Street,6,4.0,1.2258187382102497,
Metro Halsey Street,6,5.0,1.4290224851827542,
Metro Herne Bay,6,4.0,1.625455401774498,
SuperValue Avondale,5,3.5,1.0894228312566052,
Woolworths Airport,3,7.0,3.3066917797574953,
Woolworths Auckland City,0,7.0,2.5214866124653734,
Woolworths Auckland Victoria Street West,0,8.0,1.9967078166980665,
Woolworths Birkenhead,6,8.5,2.0416711421361615,
Woolworths Blockhouse Bay,5,8.0,2.163695668842645,
Woolworths Botany Downs,2,8.5,2.0384462607326044,
Woolworths Browns Bay,7,9.0,1.954078056944394,
Woolworths Glenfield,6,7.0,1.9159991209755152,
Woolworths Greenlane,2,8.0,2.412140346794021,
Woolworths Greville Road,7,8.5,2.433861994963213,
Woolworths Grey Lynn,0,8.5,2.2618111047751563,
Woolworths Hauraki Corner,6,8.0,2.207046132634963,
Woolworths Henderson,4,8.0,2.7644357947251907,
Woolworths Highland Park,2,8.0,1.79105966869954,
Woolworths Hobsonville,4,7.5,1.6944180805158295,
Woolworths Howick,2,10.0,1.880649383926509,
Woolworths Lincoln Road,4,8.5,2.202868942753374,
Woolworths Lynnmall,0,8.5,1.9049796241485244,
Woolworths Mairangi Bay,7,7.5,2.430074722697789,
Woolworths Mangere East,3,8.0,1.8496087779795347,
Woolworths Mangere Mall,3,7.0,2.2213082915965963,
Woolworths Manukau,3,8.5,2.0875571218153777,
Woolworths Manukau Mall,3,7.5,2.556724878680371,
Woolworths Manurewa,3,7.0,2.202868942753374,
Woolworths Meadowbank,2,8.0,2.53605578553951,
Woolworths Meadowlands,2,9.0,2.910507280798134,
Woolworths Milford,6,8.0,1.9841477024816365,
Woolworths Mt Eden,0,8.0,1.860248992954834,
Woolworths Mt Roskill,0,7.0,2.100125309544522,
Woolworths Mt Wellington,2,8.0,2.1343062474478067,
Woolworths Newmarket,0,8.0,2.2734161635370636,
Woolworths Northcote,6,7.0,2.359192546971147,
Woolworths Northwest,4,7.0,2.023545611570261,
Woolworths Onehunga,3,8.0,1.9540780569443938,
Woolworths Pakuranga,2,8.0,2.7414940221864814,
Woolworths Papakura,1,7.0,2.5422741580594415,
Woolworths Papatoetoe,3,8.5,2.2803508501982757,
Woolworths Ponsonby,0,8.5,1.759186414825121,
Woolworths Pt Chevalier,4,8.0,2.772040859423935,
Woolworths Roselands,1,8.0,2.0844032340469214,
Woolworths St Johns,2,8.0,1.9701723141310303,
Woolworths St Lukes,0,8.0,2.280350850198276,
Woolworths Sunnynook,7,7.5,2.4767338424456895,
Woolworths Takanini,1,8.0,1.970840055995359,
Woolworths Takapuna,6,7.0,2.8488224714229227,
Woolworths Te Atatu North,4,9.0,1.6091841672756186,
Woolworths Te Atatu South,4,8.0,2.5930067895256883,
Woolworths Three Kings,0,7.5,1.6733200530681511,
Woolworths Waiata Shores,1,8.5,2.7313964040009777,
Woolworths Westgate,4,7.5,2.02874085917453,
